brandSKUId,label,facets_jsonb,categoryLabel,normalized_name,core_identity,brand_extracted,categories_parsed,primary_category,cluster_id
06662528-0c7d-429f-a713-7010e5b014ab,CORNITOS Potato Crusties Peri 50g-gt Bag 50 Grams,"{""tags"": [""Crispy"", ""Snack"", ""Peri Peri"", ""Cornitos"", ""Potato Crusties"", ""Gluten Free"", ""Savory Snack""], ""scent"": ""Spicy"", ""flavour"": ""Peri Peri"", ""texture"": ""Crunchy"", ""brandName"": ""CORNITOS"", ""netWeight"": ""50 g"", ""packetSize"": ""Single-Use"", ""productType"": ""Potato Snacks"", ""seasonalUse"": ""Any Season"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": ""Potato"", ""packagingType"": ""Bag"", ""certifications"": ""FSSAI"", ""specialFeature"": ""Gluten Free"", ""countryOfOrigin"": ""India"", ""preparationTime"": ""Ready to Eat"", ""applicationMethod"": ""Snack"", ""servingSuggestion"": ""Ideal for Parties"", ""targetDemographic"": ""All Age Groups"", ""nutritionalContent"": ""Low Calorie"", ""dietaryRestrictions"": ""None"", ""storageInstructions"": ""Store in a cool, dry place""}",Sweets/Snacks,potato crusties peri gt rams,potato crusties peri gt rams | sweets snacks,CORNITOS,"Sweets, Snacks",Sweets,18
0707e77f-7f8e-4501-8364-8cb5b904178b,CORNITOS Tikka Masala X 16 BAKED AND FRIED CORN CHIPS 2400 Grams,"{""tags"": [""corn chips"", ""snacks"", ""tikka masala"", ""party snack""], ""scent"": ""Spicy"", ""cuisine"": ""Indian"", ""flavour"": ""Tikka Masala"", ""texture"": ""Crunchy"", ""brandName"": ""CORNITOS"", ""netWeight"": ""2400 Grams"", ""snackType"": ""Savory Snack"", ""packetSize"": ""Multi-Use"", ""properties"": [""resealability""], ""dietaryInfo"": ""Vegetarian"", ""productType"": ""Chips"", ""seasonalUse"": ""Any Season"", ""servingSize"": ""30 Grams"", ""packQuantity"": ""16 Each"", ""priceSegment"": ""Affordable"", ""servingCount"": ""80 Servings"", ""keyIngredient"": ""Corn"", ""packagingType"": ""Box"", ""certifications"": ""FSSAI Approved"", ""specialFeature"": ""Baked and Fried"", ""marketingClaims"": ""No Artificial Flavors"", ""applicationMethod"": ""Ready to Eat"", ""targetDemographic"": ""All Ages""}",Sweets/Snacks,tikka masala x baked and fried chips,tikka masala x baked and fried chips | sweets snacks,CORNITOS,"Sweets, Snacks",Sweets,26
0dd2c55c-488e-4587-8051-2e08ff0f16fb,CORNITOS Roasted Pumpkin Seeds 30 Grams,"{""tags"": [""healthy snacks"", ""pumpkin seeds"", ""roasted seeds"", ""vegan snack"", ""nutritious food""], ""type"": ""Pumpkin Seeds"", ""scent"": ""N/A"", ""texture"": ""Crunchy"", ""packSize"": ""N/A"", ""netWeight"": ""30 Grams"", ""shelfLife"": ""N/A"", ""packetSize"": ""Single-Use"", ""resealable"": ""N/A"", ""seasonalUse"": ""Year-round"", ""availability"": ""N/A"", ""priceSegment"": ""Affordable"", ""productBrand"": ""CORNITOS"", ""sourceRegion"": ""Product of India"", ""varietyGrade"": ""N/A"", ""cookingMethod"": ""N/A"", ""certifications"": ""N/A"", ""flavorSeasoning"": ""N/A"", ""preparationType"": ""Roasted"", ""applicationMethod"": ""Snack"", ""dietaryPreference"": ""Vegetarian"", ""nutritionalClaims"": ""Lightly salted"", ""packagingMaterial"": ""N/A"", ""targetDemographic"": ""Health-conscious consumers"", ""storageInstructions"": ""Store in a cool and dry place""}",Dry Fruits/Seeds,roasted pumpkin seeds,roasted pumpkin seeds | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,10
0df3d763-b036-4af5-8946-127fbd999e7d,CORNITOS Utsava-cgp011 750 Grams,"{""tags"": [""snacking"", ""nut mix"", ""lightly salted"", ""premium quality"", ""crack pepper""], ""type"": ""Mixed Nuts"", ""scent"": ""Nutty"", ""texture"": ""Crispy"", ""packSize"": ""N/A"", ""netWeight"": ""750 Grams"", ""brandStory"": ""The Bag of Happiness"", ""nutContent"": ""Peanuts, Cashews, Almonds"", ""packetSize"": ""Multi-Use"", ""seasonalUse"": ""Festive"", ""allergenInfo"": ""Contains Nuts"", ""crunchFactor"": ""High"", ""priceSegment"": ""Premium"", ""productBrand"": ""CORNITOS"", ""sourceRegion"": ""N/A"", ""varietyGrade"": ""N/A"", ""packagingType"": ""Resealable Bag"", ""certifications"": ""N/A"", ""dietaryOptions"": ""Gluten-Free"", ""flavorSeasoning"": ""Crack Pepper"", ""preparationType"": ""Lightly Salted"", ""applicationMethod"": ""Snacking"", ""servingSuggestion"": ""Ready to Eat"", ""targetDemographic"": ""Adults""}",Dry Fruits/Seeds,utsava cgp011,utsava cgp011 | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,8
108a7f4e-4349-4b1b-ad92-d61062229ab2,Cornitos Honey Roasted Almond And Party Mix 400 Grams,"{""tags"": [""Honey Roasted"", ""Almonds"", ""Snack"", ""Party Mix"", ""Dry Fruits""], ""type"": ""Almonds"", ""color"": ""Red"", ""scent"": ""Nutty"", ""shape"": ""Rectangular"", ""texture"": ""Crunchy"", ""packSize"": ""N/A"", ""netWeight"": ""400 Grams"", ""packetSize"": ""Multi-Use"", ""promotions"": ""Vacation Theme"", ""seasonalUse"": ""Year-round"", ""priceSegment"": ""Affordable"", ""productBrand"": ""Cornitos"", ""sourceRegion"": ""N/A"", ""varietyGrade"": ""N/A"", ""packagingType"": ""Box"", ""productOrigin"": ""N/A"", ""certifications"": ""N/A"", ""flavorSeasoning"": ""Honey"", ""preparationType"": ""Roasted"", ""applicationMethod"": ""Snack"", ""dietaryPreference"": ""Vegetarian"", ""servingSuggestion"": ""Nibbles"", ""targetDemographic"": ""General"", ""cookingInstructions"": ""Ready to eat"", ""additionalIngredients"": ""Party Mix""}",Dry Fruits/Seeds,honey roasted almond and party mix,honey roasted almond and party mix | dry fruits seeds,Cornitos,"Dry Fruits, Seeds",Dry Fruits,-1
10d2759c-ca31-46aa-8c07-86dfec664aa9,Cornitos Beetroot Chili Taco Shell 80 Grams,"{""tags"": [""snack"", ""taco"", ""beetroot"", ""chili"", ""crispy snack""], ""color"": ""Red"", ""scent"": ""Savory"", ""shape"": ""Shell"", ""flavour"": ""Chili"", ""texture"": ""Crispy"", ""brandName"": ""Cornitos"", ""netWeight"": ""80 g"", ""packetSize"": ""Single-Use"", ""productType"": ""Taco Shells"", ""seasonalUse"": ""N/A"", ""allergenInfo"": ""N/A"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""cookingMethod"": ""Microwave"", ""keyIngredient"": ""Beetroot"", ""certifications"": ""N/A"", ""specialFeature"": ""N/A"", ""countryOfOrigin"": ""India"", ""preparationTime"": ""Quick Snack"", ""applicationMethod"": ""Ready to Use"", ""dietaryPreference"": ""Vegetarian"", ""servingSuggestion"": ""N/A"", ""targetDemographic"": ""Families""}",Sweets/Snacks,beetroot chili taco shell rams,beetroot chili taco shell rams | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,39
11d7f203-0fd3-4ebc-b8a5-77a7edeb3525,CORNITOS SLICED JALAPENOS 3. 1 KG TIN PEPPER Cans 3100 Grams,"{""form"": ""N/A"", ""tags"": [""jalapenos"", ""spicy"", ""canned"", ""vegetarian"", ""snack""], ""brand"": ""CORNITOS"", ""scent"": ""Spicy"", ""origin"": ""Mexican"", ""flavour"": ""Hot"", ""texture"": ""Crispy"", ""packSize"": ""N/A"", ""netWeight"": ""3100 Grams"", ""packetSize"": ""Multi-Use"", ""properties"": [""vegetarian""], ""ingredients"": ""Jalapenos, Water, Salt, Vinegar, Calcium"", ""productType"": ""Sliced Jalapenos"", ""seasonalUse"": ""N/A"", ""servingSize"": ""100 Grams"", ""isGlutenFree"": ""N/A"", ""priceSegment"": ""Affordable"", ""certification"": ""N/A"", ""applicationMethod"": ""Sauces & Dips"", ""targetDemographic"": ""General"", ""preservationMethod"": ""Packaged in tin"", ""storageInstructions"": ""Store in a cool, dry place"", ""nutritionalInformation"": ""Per 100g Energy: 12.5 Kcal""}",Prepared/Preserved Foods,sliced jalapenos pepper cans,sliced jalapenos pepper cans | prepared preserved foods,Cornitos,"Prepared, Preserved Foods",Prepared,0
11e02411-51e9-415f-b304-8537f75799b9,CORNITOS Barbeque Nacho Crisps Baked And Fried Corn Chips 70 Grams,"{""tags"": [""cornitos"", ""chips"", ""snack"", ""barbeque"", ""crispy"", ""gluten free"", ""corn"", ""affordable"", ""single use""], ""scent"": ""Smoky"", ""flavour"": ""Barbeque"", ""texture"": ""Crispy"", ""dietType"": ""Vegetarian"", ""brandName"": ""Cornitos"", ""netWeight"": ""70 g"", ""packetSize"": ""Single-Use"", ""properties"": [""❌ resealability""], ""colorScheme"": ""Blue and Brown"", ""productType"": ""Chips"", ""seasonalUse"": ""All Year"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": ""Corn"", ""specialFeature"": ""Gluten Free"", ""marketingClaims"": ""Gluten Free"", ""packageMaterial"": ""Plastic"", ""applicationMethod"": ""Ready to Eat"", ""targetDemographic"": ""General""}",Sweets/Snacks,barbeque nacho crisps baked and fried chips rams,barbeque nacho crisps baked and fried chips rams | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,60
1402faa3-8f88-4be8-a947-06721e50ccc7,CORNITOS WASABI BAKED AND FRIED CORN CHIPS Bag 150 Grams,"{""tags"": [""snack"", ""wasabi"", ""cornchips"", ""glutenfree""], ""scent"": ""Spicy"", ""flavour"": ""Wasabi"", ""texture"": ""Crispy"", ""brandName"": ""Cornitos"", ""netWeight"": ""150 g"", ""packetSize"": ""Single-Use"", ""productType"": ""Chips"", ""seasonalUse"": ""All Year"", ""servingSize"": ""30 g"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""certification"": ""FSSAI"", ""keyIngredient"": ""Corn"", ""calorieContent"": ""120 kcal per serving"", ""specialFeature"": ""Gluten Free"", ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Snack"", ""dietaryPreference"": ""Vegetarian"", ""targetDemographic"": ""Adults"", ""allergenInformation"": ""Contains corn"", ""storageInstructions"": ""Store in a cool, dry place"", ""servingsPerContainer"": ""5""}",Sweets/Snacks,wasabi baked and fried chips rams,wasabi baked and fried chips rams | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,-1
146d1f25-b419-48b6-aaa9-b3077dfc3f55,CORNITOS Cheese And Herbs Box Of 10 BAKED FRIED CORN CHIPS 300 Grams,"{""tags"": [""snack"", ""cheese"", ""chips"", ""baked"", ""gluten-free"", ""crispy""], ""scent"": ""Cheesy"", ""flavour"": ""Cheese"", ""texture"": ""Crispy"", ""brandName"": ""CORNITOS"", ""netWeight"": ""300 g"", ""packetSize"": ""Multi-Use"", ""properties"": [""gluten free""], ""productType"": ""Chips"", ""seasonalUse"": ""Any time"", ""servingSize"": ""28 g"", ""packQuantity"": ""10 Each"", ""priceSegment"": ""Affordable"", ""cookingMethod"": ""None"", ""keyIngredient"": ""Corn"", ""packagingType"": ""Box"", ""specialFeature"": ""Baked"", ""energyPerServing"": ""143 kcal"", ""applicationMethod"": ""Snack"", ""dippingSuggestion"": ""Great with Dip"", ""targetDemographic"": ""General"", ""sharingRecommendation"": ""Enjoy with Friends""}",Sweets/Snacks,cheese and herbs box of baked fried chips rams,cheese and herbs box of baked fried chips rams | sweets snacks,CORNITOS,"Sweets, Snacks",Sweets,58
1531ed4e-5222-4fcb-afdf-a9314a439a1d,Cornitos Peri 150 Grams,"{""tags"": [""snacks"", ""crisps"", ""spicy"", ""Peri Peri"", ""Cornitos"", ""nacho snacks"", ""tangy""], ""scent"": ""Tangy"", ""madeIn"": ""India"", ""flavour"": ""Peri Peri"", ""texture"": ""Crispy"", ""brandName"": ""Cornitos"", ""netWeight"": ""150 g"", ""glutenFree"": ""N/A"", ""packetSize"": ""Single-Use"", ""properties"": [""resealable"", ""suitable for vegetarians""], ""spiceLevel"": ""Medium"", ""productType"": ""Nacho Crisps"", ""seasonalUse"": ""All Year Round"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": ""N/A"", ""caloricContent"": ""N/A"", ""specialFeature"": ""N/A"", ""packageMaterial"": ""Plastic"", ""applicationMethod"": ""Ready to Eat"", ""servingSuggestion"": ""Standalone Snack"", ""targetDemographic"": ""Snack Lovers""}",Sweets/Snacks,peri rams,peri rams | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,17
15ac30bd-eaa3-4e79-aa20-4a2b48b0cff2,CORNITOS Cheese And Herbs Nachos Bag 30 Grams,"{""tags"": [""Nacho"", ""Snack"", ""Cheese"", ""Herbs"", ""Corn"", ""Affordable""], ""flavour"": ""Cheese and Herbs"", ""texture"": ""Crispy"", ""idealFor"": ""Snacking"", ""brandName"": ""Cornitos"", ""mainColor"": ""Orange"", ""netWeight"": ""30 g"", ""packetSize"": ""Single-Use"", ""properties"": [""❌ resealability""], ""productType"": ""Chips"", ""seasonalUse"": ""All Seasons"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": ""Corn"", ""certifications"": ""FSSAI"", ""packagingShape"": ""Bag"", ""specialFeature"": null, ""additionalColor"": ""Purple"", ""marketingClaims"": ""Gluten Free"", ""applicationMethod"": ""Ready to Eat"", ""packagingMaterial"": ""Plastic"", ""targetDemographic"": ""Adults"", ""packagingTransparency"": ""Opaque""}",Sweets/Snacks,cheese and herbs nachos rams,cheese and herbs nachos rams | sweets snacks,Cornitos,"Sweets, Snacks",Sweets,52
15d3c40c-a9d4-405b-940d-5c42170faa44,CORNITOS Nachos Hot Flavour Combo Pack 180 Grams,"{""tags"": [""nachos"", ""snacks"", ""spicy"", ""cornitos"", ""crispy""], ""scent"": ""Spicy"", ""flavour"": ""Hot Flavour"", ""texture"": ""Crispy"", ""brandName"": ""CORNITOS"", ""netWeight"": ""180 g"", ""packetSize"": ""Multi-Use"", ""properties"": [""offer pack"", ""resealable"", ""bar code available""], ""productType"": ""Nachos"", ""seasonalUse"": ""Anytime"", ""packQuantity"": ""3 Each"", ""priceSegment"": ""Affordable"", ""certification"": null, ""keyIngredient"": null, ""regionOfOrigin"": ""India"", ""specialFeature"": null, ""packageMaterial"": ""Plastic"", ""applicationMethod"": ""Snack"", ""servingSuggestion"": ""Pairs well with dips"", ""targetDemographic"": ""All Ages"", ""dietaryInformation"": null, ""storageInstructions"": ""Store in a cool, dry place""}",Sweets/Snacks,nachos hot flavour combo rams,nachos hot flavour combo rams | sweets snacks,CORNITOS,"Sweets, Snacks",Sweets,-1
