brandSKUId,label,facets_jsonb,categoryLabel,normalized_name,core_identity,brand_extracted,categories_parsed,primary_category,cluster_id
0047a5ab-5b95-4996-8557-d8fac814279b,"Haldiram - Kaju Katli, 500 Gram","{""tags"": [""Haldiram"", ""Kaju Katli"", ""Sweets"", ""Indian Desserts"", ""Cashew""], ""color"": ""White"", ""scent"": ""Nutty"", ""shape"": ""Square"", ""flavour"": null, ""texture"": ""Soft"", ""brandName"": ""Haldiram"", ""netWeight"": ""500 g"", ""expiryDate"": ""6 months from manufacturing"", ""packetSize"": ""Multi-Use"", ""productType"": ""Kaju Katli"", ""seasonalUse"": ""Festive"", ""allergenInfo"": ""Contains nuts"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Premium"", ""certification"": ""FSSAI"", ""keyIngredient"": ""Cashew"", ""specialFeature"": null, ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Ready to Eat"", ""servingSuggestion"": ""Can be served as dessert"", ""targetDemographic"": ""General"", ""storageInstructions"": ""Store in a cool, dry place""}",Sweets/Snacks,kaju katli,kaju katli | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,365
02ca93b9-3792-4d54-8134-7b52031a4a82,"Haldiram - Chips Pudina Treat, 13 Gram","{""tags"": [""chips"", ""snack"", ""Halidram"", ""pudina"", ""crispy""], ""scent"": ""Herbaceous"", ""flavour"": ""Pudina"", ""texture"": ""Crispy"", ""brandName"": ""HALDIRAM"", ""netVolume"": ""N/A"", ""netWeight"": ""13 Grams"", ""snackForm"": ""Chips"", ""packetSize"": ""Single-Use"", ""prodOrigin"": ""India"", ""properties"": [""❌ contains nuts""], ""specialTag"": ""N/A"", ""crunchLevel"": ""High"", ""seasonalUse"": ""N/A"", ""healthClaims"": ""N/A"", ""isGlutenFree"": ""N/A"", ""priceSegment"": ""Affordable"", ""cookingMethod"": ""Fried"", ""countUnitEach"": ""N/A"", ""packagingType"": ""Plastic Bag"", ""applicationMethod"": ""Ready to Eat"", ""dietaryPreference"": ""N/A"", ""servingSuggestion"": ""Snack"", ""sustainabilityTag"": ""N/A"", ""targetDemographic"": ""All Ages""}",Crunchy Snack,chips pudina treat,chips pudina treat | crunchy snack,HALDIRAM,Crunchy Snack,Crunchy Snack,121
030df2ac-1857-4ab6-92d1-7a4b0e7fa63c,"Haldiram - Balti Mixture, 280 Gram","{""tags"": [""snack"", ""savory"", ""Indian"", ""crunchy"", ""Haldiram""], ""scent"": ""Savory"", ""flavour"": ""N/A"", ""texture"": ""Crispy"", ""brandName"": ""Haldiram"", ""netWeight"": ""280 g"", ""packetSize"": ""Multi-Use"", ""cuisineType"": ""Indian"", ""productType"": ""Mixture"", ""seasonalUse"": ""All Year"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""transparency"": ""Opaque"", ""dietaryClaims"": ""N/A"", ""keyIngredient"": ""Peanut"", ""resealability"": ""Non-resealble"", ""certifications"": ""N/A"", ""specialFeature"": ""N/A"", ""ingredientsList"": ""Chickpeas, Peanuts, Garden Peas, Lentils"", ""marketingClaims"": ""N/A"", ""packageMaterial"": ""Plastic"", ""applicationMethod"": ""Snack"", ""targetDemographic"": ""General"", ""servingSuggestions"": ""Tea-time snack""}",Sweets/Snacks,balti mixture,balti mixture | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,91
0389b59c-055d-4989-b38a-9d24ba354818,"Haldiram - Chocolate Burfi, 500 Gram","{""tags"": [""Haldiram"", ""Chocolate Burfi"", ""Sweets"", ""Snacks"", ""Indian Sweets""], ""scent"": ""Chocolate"", ""flavour"": ""Chocolate"", ""texture"": ""Soft"", ""brandName"": ""Haldiram"", ""netWeight"": ""500 g"", ""packetSize"": ""Single-Use"", ""properties"": [""❌ imported"", ""❌ suitable for vegans""], ""productType"": ""Burfi"", ""seasonalUse"": ""Festive"", ""containsNuts"": ""N/A"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": ""N/A"", ""resealability"": ""N/A"", ""caloricContent"": ""N/A"", ""containsGluten"": ""N/A"", ""specialFeature"": ""N/A"", ""applicationMethod"": ""Ready to eat"", ""dietaryPreference"": ""N/A"", ""packagingMaterial"": ""Cardboard"", ""servingSuggestion"": ""N/A"", ""targetDemographic"": ""General""}",Sweets/Snacks,chocolate burfi,chocolate burfi | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,375
03c8928a-a706-4c1b-8f31-0b50b220bc6a,"Haldiram - Maxilla Salsa, 50 Gram","{""tags"": [""Crunchy Snack"", ""Tortilla Chips"", ""Savory"", ""HALDIRAM""], ""scent"": ""Savory"", ""flavour"": ""Salsa"", ""texture"": ""Crispy"", ""brandName"": ""HALDIRAM"", ""netVolume"": ""N/A"", ""netWeight"": ""50 Grams"", ""snackForm"": ""Chips"", ""expiryDate"": ""N/A"", ""packetSize"": ""Single-Use"", ""specialTag"": ""N/A"", ""seasonalUse"": ""Any Season"", ""allergenInfo"": ""N/A"", ""crunchFactor"": ""High"", ""priceSegment"": ""Affordable"", ""cookingMethod"": ""N/A"", ""countUnitEach"": ""N/A"", ""packagingType"": ""Resealable"", ""caloricContent"": ""N/A"", ""countryOfOrigin"": ""India"", ""applicationMethod"": ""N/A"", ""dietaryPreference"": ""N/A"", ""servingSuggestion"": ""Serve with dips"", ""targetDemographic"": ""Snack Lovers"", ""ingredientHighlight"": ""Corn"", ""retailShelfPosition"": ""Middle Shelf""}",Sweets/Snacks,maxilla salsa,maxilla salsa | sweets snacks,HALDIRAM,"Sweets, Snacks",Sweets,144
03cb0806-a53f-42cd-a369-5f865925365b,"Haldiram - Gulab Jamun, 3 Pack, 3.7 Kg","{""tags"": [""Haldiram"", ""Gulab Jamun"", ""Sweets"", ""Indian Desserts"", ""Festive Treats""], ""color"": ""Red/Brown"", ""scent"": ""Sweet"", ""flavour"": null, ""texture"": ""Soft"", ""brandName"": ""Haldiram"", ""netWeight"": ""3.7 Kg"", ""shelfLife"": ""Best Before 6 months"", ""packetSize"": ""Multi-Use"", ""productType"": ""Gulab Jamun"", ""seasonalUse"": ""Festivals"", ""allergenInfo"": null, ""packQuantity"": ""3 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": null, ""caloricContent"": null, ""certifications"": null, ""specialFeature"": null, ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Ready to Eat"", ""servingSuggestion"": ""Serve chilled or at room temperature"", ""targetDemographic"": ""All Ages"", ""storageInstructions"": ""Keep in a cool, dry place""}",Sweets/Snacks,gulab jamun,gulab jamun | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,110
041ae4a5-6cbd-4c4d-9c86-ee3255e1976f,"Haldiram - Gourmet Marzipan Delicacies, 500 Gram","{""tags"": [""Marzipan"", ""Haldiram"", ""Gourmet"", ""Confectionery"", ""Delicacies"", ""Premium"", ""500g""], ""mainType"": ""Candy"", ""brandName"": ""Haldiram"", ""netLitres"": null, ""netVolume"": null, ""netWeight"": ""500 Grams"", ""unitCount"": null, ""packetSize"": ""Multi-Use"", ""occasionType"": null, ""priceSegment"": ""Premium"", ""cocoaPercentage"": null, ""specialAttributes"": null, ""flavourOrIngredient"": ""Marzipan""}",Confectionery/Chocolates,gourmet marzipan delicacies,gourmet marzipan delicacies | confectionery chocolates,Haldiram,"Confectionery, Chocolates",Confectionery,29
049aa163-a447-4074-9254-90601fac62c1,"Haldiram - Mexilla Gourmet, 75 Gram","{""tags"": [""Haldiram"", ""Crunchy"", ""Snack"", ""Chips"", ""Affordable""], ""scent"": null, ""flavour"": ""Himalayan Pink Salt"", ""texture"": ""Crunchy"", ""brandName"": ""HALDIRAM"", ""netWeight"": ""75 Grams"", ""snackForm"": ""Chips"", ""packetSize"": ""Single-Use"", ""specialTag"": null, ""seasonalUse"": ""Year-Round"", ""priceSegment"": ""Affordable"", ""certification"": null, ""packagingType"": ""Bag"", ""resealability"": ""Non-Resealable"", ""flavourProfile"": ""Savory"", ""regionSpecific"": null, ""countryOfOrigin"": ""India"", ""marketingClaims"": null, ""applicationMethod"": ""Ready to Eat"", ""dietaryPreference"": null, ""packagingMaterial"": ""Plastic"", ""targetDemographic"": ""General"", ""allergenInformation"": ""Contains Wheat""}",Crunchy Snack,mexilla gourmet,mexilla gourmet | crunchy snack,HALDIRAM,Crunchy Snack,Crunchy Snack,163
04a43867-2e1c-4399-b738-2a6e7496bf68,ROLL POLL WAFER ROLL BANANA 5 X 40 PCS JAR,"{""tags"": [""wafer rolls"", ""snack"", ""sweet snacks"", ""crunchy"", ""HALDIRAM'S""], ""scent"": ""Sweet"", ""shape"": ""Cylindrical"", ""colors"": ""Cream, Brown"", ""flavour"": ""Banana"", ""texture"": ""Crispy"", ""variant"": ""Plain"", ""material"": ""Plastic"", ""brandName"": ""HALDIRAM'S"", ""netVolume"": ""N/A"", ""netWeight"": ""200 Grams"", ""snackForm"": ""Wafer"", ""packetSize"": ""Multi-Use"", ""properties"": [""resealability""], ""specialTag"": ""N/A"", ""seasonalUse"": ""N/A"", ""allergenInfo"": ""Contains Wheat"", ""priceSegment"": ""Affordable"", ""countUnitEach"": ""40 Each"", ""packagingType"": ""Jar"", ""certifications"": ""FSSAI Approved"", ""marketingClaim"": ""N/A"", ""popularInRegion"": ""India"", ""applicationMethod"": ""Ready to Eat"", ""servingSuggestion"": ""Snack/Tea Time"", ""targetDemographic"": ""All Ages"", ""dietaryPreferences"": ""Vegetarian""}",Confectionery/Chocolates,roll poll wafer roll banana x pcs,roll poll wafer roll banana x pcs | confectionery chocolates,HALDIRAM'S,"Confectionery, Chocolates",Confectionery,6
04af46ff-daaf-4ac5-ba65-c0162b4e8815,"Haldiram - Taka-Tak Tangy Tomato, 100 Gram","{""tags"": [""Haldiram"", ""Taka-Tak"", ""Tangy Tomato"", ""Snacks"", ""Namkeen"", ""Crispy Snack""], ""scent"": ""Savory"", ""flavour"": ""Tangy Tomato"", ""texture"": ""Crispy"", ""brandName"": ""Haldiram"", ""netWeight"": ""100 g"", ""packetSize"": ""Single-Use"", ""prepMethod"": ""Ready to Eat"", ""properties"": [""❌ organic"", ""❌ gift pack"", ""❌ gluten free"", ""vegetarian"", ""❌ contains allergen"", ""has added preservatives""], ""productType"": ""Namkeen"", ""seasonalUse"": ""Anytime"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""keyIngredient"": ""Potato"", ""specialFeature"": ""N/A"", ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Snacking"", ""servingSuggestion"": ""As a Snack"", ""targetDemographic"": ""All Ages""}",Crunchy Snack,taka tak tangy tomato,taka tak tangy tomato | crunchy snack,Haldiram,Crunchy Snack,Crunchy Snack,246
04c5a7b2-1884-43cc-8380-ea9be7714b6d,"Haldiram - Roasted Peanuts Salted, 150 Gram","{""tags"": [""Haldiram"", ""Peanuts"", ""Snacks"", ""Salted"", ""Roasted"", ""Indian Snacks""], ""scent"": ""Nutty"", ""flavour"": ""Salted"", ""texture"": ""Crunchy"", ""brandName"": ""Haldiram"", ""netWeight"": ""150 g"", ""shelfLife"": ""6 months"", ""packetSize"": ""Single-Use"", ""properties"": [""resealability""], ""productType"": ""Peanuts"", ""seasonalUse"": ""Anytime Snack"", ""dietaryClaim"": ""N/A"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""certification"": ""N/A"", ""keyIngredient"": ""Peanut"", ""specialFeature"": ""Roasted"", ""countryOfOrigin"": ""India"", ""applicationMethod"": ""Ready to Eat"", ""packagingMaterial"": ""Plastic"", ""servingSuggestion"": ""Snack"", ""targetDemographic"": ""General"", ""storageInstructions"": ""Store in a cool, dry place""}",Sweets/Snacks,roasted peanuts salted,roasted peanuts salted | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,353
04c85a7d-c33b-4b4e-969e-0c607f162df1,"Haldiram - Farsi Puri, 130 Gram","{""tags"": [""Snacks"", ""Haldiram"", ""Farsi Puri"", ""Crispy Snacks"", ""Indian Snacks"", ""Ready to Eat""], ""scent"": ""Savory"", ""origin"": ""India"", ""status"": ""Available"", ""flavour"": null, ""texture"": ""Crispy"", ""dietType"": null, ""brandName"": ""Haldiram"", ""netWeight"": ""130 g"", ""packetSize"": ""Single-Use"", ""packageType"": ""Box"", ""productType"": ""Farsi Puri"", ""seasonalUse"": ""All-Year"", ""packQuantity"": ""1 Each"", ""priceSegment"": ""Affordable"", ""cookingMethod"": ""Ready to Eat"", ""keyIngredient"": null, ""certifications"": ""FSSAI"", ""specialFeature"": null, ""nutritionalInfo"": ""Vegetarian"", ""applicationMethod"": ""Snack"", ""servingSuggestion"": ""As snack or appetizer"", ""targetDemographic"": ""General"", ""storageInstructions"": ""Store in a cool, dry place""}",Sweets/Snacks,farsi puri,farsi puri | sweets snacks,Haldiram,"Sweets, Snacks",Sweets,116
04ce8b0f-aeec-4305-8fe7-9cd2782c5aff,"Haldiram - Apple Cinnamon Smoothie, 280 ml","{""tags"": [""smoothie"", ""beverage"", ""apple"", ""cinnamon"", ""Haldiram""], ""volume"": ""280 ml"", ""flavour"": ""Apple Cinnamon"", ""calories"": ""N/A"", ""packSize"": ""N/A"", ""brandName"": ""HALDIRAM"", ""netWeight"": ""280 Millilitres"", ""bestBefore"": ""N/A"", ""packetSize"": ""Single-Use"", ""seasonalUse"": ""N/A"", ""priceSegment"": ""Affordable"", ""productColor"": ""Pink"", ""sugarContent"": ""N/A"", ""unitsPerPack"": ""1"", ""packagingType"": ""Bottle"", ""certifications"": ""N/A"", ""ingredientForm"": ""N/A"", ""ingredientList"": ""Apple, Cinnamon, Powdered Banana, Yogurt, Honey"", ""productTexture"": ""Smooth"", ""countryOfOrigin"": ""N/A"", ""specialAttribute"": ""N/A"", ""servingSuggestion"": ""N/A"", ""targetDemographic"": ""General"", ""storageInstructions"": ""Store in a cool place""}",Beverages Flavouring Ingredients,apple cinnamon smoothie,apple cinnamon smoothie | beverages flavouring ingredients,HALDIRAM,Beverages Flavouring Ingredients,Beverages Flavouring Ingredients,2
0515369f-2edf-4d22-bb7e-e9070029bf8b,"Haldiram - Pudina Sev, 150 Gram","{""tags"": [""Snacks"", ""Mint"", ""Crispy"", ""Vegetarian""], ""scent"": ""Minty"", ""flavour"": ""Pudina"", ""texture"": ""Crispy"", ""prepTime"": ""Instant"", ""brandName"": ""HALDIRAM"", ""netVolume"": null, ""netWeight"": ""150 Grams"", ""shelfLife"": ""6 Months"", ""snackForm"": ""Sev"", ""packetSize"": ""Single-Use"", ""properties"": [""recyclable packaging""], ""specialTag"": null, ""cuisineType"": ""Indian"", ""portionSize"": ""1 Serving"", ""seasonalUse"": ""Any Season"", ""priceSegment"": ""Affordable"", ""countUnitEach"": null, ""packagingType"": ""Pouch"", ""ingredientSource"": ""Vegetarian"", ""nutritionalClaim"": ""High in Fiber"", ""promotionalClaim"": ""Popular Snack"", ""applicationMethod"": ""Ready to Eat"", ""servingSuggestion"": ""As a Snack"", ""targetDemographic"": ""Snack Lovers""}",Sweets/Snacks,pudina sev,pudina sev | sweets snacks,HALDIRAM,"Sweets, Snacks",Sweets,136
